message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp200B__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,200B,single,,MLM,ML​M,"removal, MLM, MLM","re​moval, ML​M, ML​M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp200C__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,200C,single,,MLM,ML‌M,"removal, MLM, MLM","re‌moval, ML‌M, ML‌M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp200D__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,200D,single,,MLM,ML‍M,"removal, MLM, MLM","re‍moval, ML‍M, ML‍M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__extended__cp00AD__single.317e78fa8ee2f54cd4890fdc09ba8176,extended,00AD,single,,MLM,ML­M,"removal, MLM, MLM","re­moval, ML­M, ML­M"
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp200B__single.7848dde101aa985090474a91ec93fcf0,extended,200B,single,,Insurance,In​surance,,
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp200C__single.7848dde101aa985090474a91ec93fcf0,extended,200C,single,,Insurance,In‌surance,,
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp200D__single.7848dde101aa985090474a91ec93fcf0,extended,200D,single,,Insurance,In‍surance,,
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__extended__cp00AD__single.7848dde101aa985090474a91ec93fcf0,extended,00AD,single,,Insurance,In­surance,,
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200B__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200C__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200D__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp00AD__single.d94f1b97e48ed3b553b3508d116e6a09,extended,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200B__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200B,single,,Guaranteed,Gu​aranteed,"Guaranteed, zzzz","Gu​aranteed, zz​zz"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200C__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200C,single,,Guaranteed,Gu‌aranteed,"Guaranteed, zzzz","Gu‌aranteed, zz‌zz"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200D__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200D,single,,Guaranteed,Gu‍aranteed,"Guaranteed, zzzz","Gu‍aranteed, zz‍zz"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp00AD__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,00AD,single,,Guaranteed,Gu­aranteed,"Guaranteed, zzzz","Gu­aranteed, zz­zz"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200B__single.eac8de8d759b7e74154f142194282724,extended,200B,single,,zzzz,zz​zz,"zzzz, Click, Removal","zz​zz, Cl​ick, Re​moval"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200C__single.eac8de8d759b7e74154f142194282724,extended,200C,single,,zzzz,zz‌zz,"zzzz, Click, Removal","zz‌zz, Cl‌ick, Re‌moval"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200D__single.eac8de8d759b7e74154f142194282724,extended,200D,single,,zzzz,zz‍zz,"zzzz, Click, Removal","zz‍zz, Cl‍ick, Re‍moval"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp00AD__single.eac8de8d759b7e74154f142194282724,extended,00AD,single,,zzzz,zz­zz,"zzzz, Click, Removal","zz­zz, Cl­ick, Re­moval"
00005.57696a39d7d84318ce497886896bf90d,00005__salted__extended__cp200B__single.57696a39d7d84318ce497886896bf90d,extended,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00005.57696a39d7d84318ce497886896bf90d,00005__salted__extended__cp200C__single.57696a39d7d84318ce497886896bf90d,extended,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00005.57696a39d7d84318ce497886896bf90d,00005__salted__extended__cp200D__single.57696a39d7d84318ce497886896bf90d,extended,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00005.57696a39d7d84318ce497886896bf90d,00005__salted__extended__cp00AD__single.57696a39d7d84318ce497886896bf90d,extended,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__extended__cp200B__single.5ab5620d3d7c6c0db76234556a16f6c1,extended,200B,single,,,,"Testimonials, compliance, receive","Te​stimonials, co​mpliance, re​ceive"
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__extended__cp200C__single.5ab5620d3d7c6c0db76234556a16f6c1,extended,200C,single,,,,"Testimonials, compliance, receive","Te‌stimonials, co‌mpliance, re‌ceive"
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__extended__cp200D__single.5ab5620d3d7c6c0db76234556a16f6c1,extended,200D,single,,,,"Testimonials, compliance, receive","Te‍stimonials, co‍mpliance, re‍ceive"
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__extended__cp00AD__single.5ab5620d3d7c6c0db76234556a16f6c1,extended,00AD,single,,,,"Testimonials, compliance, receive","Te­stimonials, co­mpliance, re­ceive"
00007.acefeee792b5298f8fee175f9f65c453,00007__salted__extended__cp200B__single.acefeee792b5298f8fee175f9f65c453,extended,200B,single,,,,"Sir, Madam","Si​r, Ma​dam"
00007.acefeee792b5298f8fee175f9f65c453,00007__salted__extended__cp200C__single.acefeee792b5298f8fee175f9f65c453,extended,200C,single,,,,"Sir, Madam","Si‌r, Ma‌dam"
00007.acefeee792b5298f8fee175f9f65c453,00007__salted__extended__cp200D__single.acefeee792b5298f8fee175f9f65c453,extended,200D,single,,,,"Sir, Madam","Si‍r, Ma‍dam"
00007.acefeee792b5298f8fee175f9f65c453,00007__salted__extended__cp00AD__single.acefeee792b5298f8fee175f9f65c453,extended,00AD,single,,,,"Sir, Madam","Si­r, Ma­dam"
