message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,n_insert_subject,n_insert_body,body_part_found,subject_targets,body_targets
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200B__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,200B,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200C__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,200C,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200D__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,200D,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp00AD__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,00AD,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200B__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,200B,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200C__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,200C,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200D__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,200D,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp00AD__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,00AD,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200B__fragment.eac8de8d759b7e74154f142194282724,extended,200B,fragment,,0,3,True,[],"[{""original_token"": ""Click"", ""salted_token"": ""C​l​i​c​k"", ""start"": 1246, ""end"": 1251, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Removal"", ""salted_token"": ""R​e​m​o​v​a​l"", ""start"": 2542, ""end"": 2549, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""advertisement"", ""salted_token"": ""a​d​v​e​r​t​i​s​e​m​e​n​t"", ""start"": 2588, ""end"": 2601, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200C__fragment.eac8de8d759b7e74154f142194282724,extended,200C,fragment,,0,3,True,[],"[{""original_token"": ""Click"", ""salted_token"": ""C‌l‌i‌c‌k"", ""start"": 1246, ""end"": 1251, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Removal"", ""salted_token"": ""R‌e‌m‌o‌v‌a‌l"", ""start"": 2542, ""end"": 2549, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""advertisement"", ""salted_token"": ""a‌d‌v‌e‌r‌t‌i‌s‌e‌m‌e‌n‌t"", ""start"": 2588, ""end"": 2601, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
