rule_type;selector;source;file;line;pattern
body_raw;sa_raw_body;regexp;misc.lua;22;"re = '/<meta\\s+http-equiv=""refresh""\\s+content=""\\d+\\s*;\\s*url=/{sa_raw_body}i',"
body_raw;sa_raw_body;regexp;misc.lua;31;"re = '/data:[^\\/]+\\/[^; ]+;base64,/{sa_raw_body}i',"
body_raw;sa_raw_body;regexp;misc.lua;39;"re = '/data:text\\/(?:plain|html);base64,/{sa_raw_body}i',"
body_sa_body;sa_body;regexp;misc.lua;47;re = '/\\b(?:my name is\\b|(?:i am|this is)\\s+(?:mr|mrs|ms|miss|master|sir|prof(?:essor)?|d(?:octo)?r|rev(?:erend)?)(?:\\.|\\b))/{sa_body}i',
body_words;words;regexp;misc.lua;64;local my_victim = [[/(?:victim|prey)/{words}]]
body_words;words;regexp;misc.lua;65;local your_webcam = [[/webcam/{words}]]
body_words;words;regexp;misc.lua;66;local your_onan = [[/(?:mast[ur]{2}bati(?:on|ng)|onanism|solitary)/{words}]]
body_words;words;regexp;misc.lua;67;local password_in_words = [[/^pass(?:(?:word)|(?:phrase))$/i{words}]]
body_words;words;regexp;misc.lua;69;local wallet_word = [[/^wallet$/{words}]]
header;header;regexp;headers.lua;141;"re = [[To=/^<?""?undisclosed[- ]recipients?\b.*:/i{header}]],"
header;header;regexp;headers.lua;655;re = [[Subject=/^(antw|atb|aw|bls|odp|res?|rif|sv|ynt)[. ]*:/i{header} & !(header_exists(In-Reply-To) | header_exists(References))]],
header;header;regexp;headers.lua;1000;re = string.format('X-Mailer=/^(?:%s)/{header}', table.concat(old_x_mailers, '|')),
header;header;regexp;headers.lua;1009;re = string.format('X-Mailer=/^%s/{header}', apple_x_mailer),
header;header;regexp;headers.lua;1020;re = string.format('X-Mailer=/^%s/{header}', apple_ios_x_mailer),
header;header;regexp;headers.lua;1043;re = string.format('X-Mailer=/^(?:%s)/{header} && !X-Mailer=/^%s/{header}',
header;header;regexp;headers.lua;1059;re = [[X-Mailer=/^Internet Mail Service \(5\./{header} & !Received=/^by \S+ with Internet Mail Service \(5\./{header}]],
lua;lua;lua;controller/neural.lua;39;local ok, err = parser:parse_text(task:get_rawbody())
header;header;lua;controller/neural.lua;179;local cls = task:get_request_header('ANN-Train') or task:get_request_header('Class')
header;header;lua;controller/neural.lua;181;conn:send_error(400, 'missing class header (ANN-Train or Class)')
header;header;lua;controller/neural.lua;191;local rule_name = task:get_request_header('Rule') or 'default'
body_words;words;lua;bounce.lua;20;local function make_subj_bounce_keywords_re()
body_words;words;lua;bounce.lua;23;local keywords = {
header;header;lua;bounce.lua;39;return string.format([[Subject=/\b(%s)\b/i{header}]], table.concat(keywords, '|'))
body_words;words;lua;bounce.lua;43;re = make_subj_bounce_keywords_re(),
header;header;lua;bounce.lua;44;group = 'headers',
mime;mime;lua;bounce.lua;71;local mime_from = task:get_from('mime')
mime;mime;lua;bounce.lua;72;if mime_from then
mime;mime;lua;bounce.lua;73;local from_user = mime_from[1].user:lower()
header;header;lua;bounce.lua;80;elseif from_user == 'mdaemon' and task:has_header('X-MDDSN-Message') then
body_words;words;lua;bounce.lua;85;local subj_keywords = task:has_symbol('SUBJ_BOUNCE_WORDS')
body_words;words;lua;bounce.lua;87;if not (bounce_sender or subj_keywords) then
body_words;words;lua;bounce.lua;91;if bounce_sender and subj_keywords then
header;header;lua;bounce.lua;95;-- Look for a message/rfc822(-headers) part inside
mime;mime;lua;bounce.lua;99;local mime_type, mime_subtype = p:get_type()
header;header;lua;bounce.lua;100;if (mime_subtype == 'rfc822' or mime_subtype == 'rfc822-headers') and
mime;mime;lua;bounce.lua;101;(mime_type == 'message' or mime_type == 'text') then
mime;mime;lua;bounce.lua;102;rfc822_part = mime_type .. '/' .. mime_subtype
body_words;words;lua;bounce.lua;109;elseif rfc822_part and subj_keywords then
header;header;lua;headers_checks.lua;41;local received = task:get_received_headers()
header;header;lua;headers_checks.lua;63;description = 'Message has no Received headers',
header;header;lua;headers_checks.lua;71;description = 'Message has one Received header',
header;header;lua;headers_checks.lua;79;description = 'Message has two Received headers',
header;header;lua;headers_checks.lua;87;description = 'Message has 3-5 Received headers',
