case_id;title;variant;expected_rule;expected_behavior;rule_family;selector_type;discovered_via;selection_rationale;symbols;expected_rule_hit;n_insert_subject;n_insert_body;codepoint;score;required_score;action;message_path;case_success
RSR01;SUBJ_BOUNCE_WORDS;unsalted;SUBJ_BOUNCE_WORDS;break;header;header;rule_discovery + whitebox validation;Selected because it is a visible, attacker-controlled subject rule based on lexical bounce keywords and can be targeted directly with ZWC salting.;TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|SINGLE_SHORT_PART|ONCE_RECEIVED|TO_DN_NONE|RCPT_COUNT_ONE|FROM_NO_DN|SUBJ_BOUNCE_WORDS|MIME_TRACE|MISSING_XM_UA|MIME_GOOD|HFILTER_HOSTNAME_UNKNOWN;True;0;0;;2.5;1000.0;no action;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\unsalted\RSR01_unsalted.eml;True
RSR01;SUBJ_BOUNCE_WORDS;salted;SUBJ_BOUNCE_WORDS;break;header;header;rule_discovery + whitebox validation;Selected because it is a visible, attacker-controlled subject rule based on lexical bounce keywords and can be targeted directly with ZWC salting.;TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|SINGLE_SHORT_PART|ONCE_RECEIVED|TO_DN_NONE|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE|HFILTER_HOSTNAME_UNKNOWN|MIME_GOOD;False;1;0;U+200B;2.5;1000.0;no action;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\salted\RSR01_salted.eml;True
RSR02;SUBJ_ALL_CAPS;unsalted;SUBJ_ALL_CAPS;break;header;header;whitebox design;Selected as a visible-content control case to test whether a more structural subject-level heuristic remains stable under token salting.;TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|SUBJ_ALL_CAPS|SINGLE_SHORT_PART|ONCE_RECEIVED|TO_DN_NONE|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE|HFILTER_HOSTNAME_UNKNOWN|MIME_GOOD;True;0;0;;4.15;1000.0;no action;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\unsalted\RSR02_unsalted.eml;False
RSR02;SUBJ_ALL_CAPS;salted;SUBJ_ALL_CAPS;break;header;header;whitebox design;Selected as a visible-content control case to test whether a more structural subject-level heuristic remains stable under token salting.;TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|SUBJ_ALL_CAPS|SINGLE_SHORT_PART|ONCE_RECEIVED|TO_DN_NONE|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE|HFILTER_HOSTNAME_UNKNOWN|MIME_GOOD;True;1;0;U+200B;4.225;1000.0;no action;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\salted\RSR02_salted.eml;False
RSR03;Test INTRODUCTION rule;unsalted;INTRODUCTION;preserve;body_sa_body;sa_body;rule_discovery + whitebox validation;Selected because the rule pattern is based on visible introductory body text and is suitable as a robustness case for normalized body matching.;TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|INTRODUCTION|ONCE_RECEIVED|TO_DN_NONE|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE|HFILTER_HOSTNAME_UNKNOWN|MIME_GOOD;True;0;0;;4.5;1000.0;no action;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\unsalted\RSR03_unsalted.eml;True
RSR03;Test INTRODUCTION rule;salted;INTRODUCTION;preserve;body_sa_body;sa_body;rule_discovery + whitebox validation;Selected because the rule pattern is based on visible introductory body text and is suitable as a robustness case for normalized body matching.;TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|INTRODUCTION|ONCE_RECEIVED|TO_DN_NONE|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE|HFILTER_HOSTNAME_UNKNOWN|MIME_GOOD;True;0;4;U+200B;4.5;1000.0;no action;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\salted\RSR03_salted.eml;True
RSR04;password + bitcoin address;unsalted;LEAKED_PASSWORD_SCAM;preserve;body_words;words;whitebox validation;Selected as a reduced visible-content variant to isolate the contribution of the 'password' token within the scam rule family.;HFILTER_HOSTNAME_UNKNOWN|TO_DN_NONE|BITCOIN_ADDR|LEAKED_PASSWORD_SCAM_RE|MIME_GOOD|LEAKED_PASSWORD_SCAM|TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|ONCE_RECEIVED|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE;True;0;0;;9.5;1000.0;add header;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\unsalted\RSR04_unsalted.eml;True
RSR04;password + bitcoin address;salted;LEAKED_PASSWORD_SCAM;preserve;body_words;words;whitebox validation;Selected as a reduced visible-content variant to isolate the contribution of the 'password' token within the scam rule family.;HFILTER_HOSTNAME_UNKNOWN|TO_DN_NONE|BITCOIN_ADDR|LEAKED_PASSWORD_SCAM_RE|MIME_GOOD|LEAKED_PASSWORD_SCAM|TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|ONCE_RECEIVED|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE;True;0;3;U+200B;9.5;1000.0;add header;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\salted\RSR04_salted.eml;True
RSR05;victim + bitcoin address;unsalted;LEAKED_PASSWORD_SCAM;preserve;body_words;words;whitebox validation;Selected as a reduced visible-content variant to isolate the contribution of the 'victim' token within the scam rule family.;HFILTER_HOSTNAME_UNKNOWN|TO_DN_NONE|BITCOIN_ADDR|LEAKED_PASSWORD_SCAM_RE|MIME_GOOD|LEAKED_PASSWORD_SCAM|TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|ONCE_RECEIVED|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE;True;0;0;;9.5;1000.0;add header;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\unsalted\RSR05_unsalted.eml;True
RSR05;victim + bitcoin address;salted;LEAKED_PASSWORD_SCAM;preserve;body_words;words;whitebox validation;Selected as a reduced visible-content variant to isolate the contribution of the 'victim' token within the scam rule family.;HFILTER_HOSTNAME_UNKNOWN|TO_DN_NONE|BITCOIN_ADDR|LEAKED_PASSWORD_SCAM_RE|MIME_GOOD|LEAKED_PASSWORD_SCAM|TO_DOM_EQ_FROM_DOM|RCVD_COUNT_ZERO|ONCE_RECEIVED|RCPT_COUNT_ONE|FROM_NO_DN|MISSING_XM_UA|MIME_TRACE;True;0;3;U+200B;9.5;1000.0;add header;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\rule_based\messages\salted\RSR05_salted.eml;True
