message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,n_insert_subject,n_insert_body,body_part_found,subject_targets,body_targets
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp200B__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,200B,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML​M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re​moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""marketing"", ""salted_token"": ""ma​rketing"", ""start"": 333, ""end"": 342, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML​M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp200C__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,200C,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML‌M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re‌moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""marketing"", ""salted_token"": ""ma‌rketing"", ""start"": 333, ""end"": 342, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML‌M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp200D__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,200D,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML‍M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re‍moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""marketing"", ""salted_token"": ""ma‍rketing"", ""start"": 333, ""end"": 342, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML‍M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp00AD__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,00AD,single,,1,3,True,"[{""original_token"": ""MLM"", ""salted_token"": ""ML­M"", ""start"": 16, ""end"": 19, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""removal"", ""salted_token"": ""re­moval"", ""start"": 245, ""end"": 252, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""marketing"", ""salted_token"": ""ma­rketing"", ""start"": 333, ""end"": 342, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""MLM"", ""salted_token"": ""ML­M"", ""start"": 345, ""end"": 348, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp200B__single.7848dde101aa985090474a91ec93fcf0,broad,200B,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In​surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp200C__single.7848dde101aa985090474a91ec93fcf0,broad,200C,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In‌surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp200D__single.7848dde101aa985090474a91ec93fcf0,broad,200D,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In‍surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp00AD__single.7848dde101aa985090474a91ec93fcf0,broad,00AD,single,,1,0,False,"[{""original_token"": ""Insurance"", ""salted_token"": ""In­surance"", ""start"": 5, ""end"": 14, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00002.9438920e9a55591b18e60d1ed37d992b,00002__salted__broad__cp200B__single.9438920e9a55591b18e60d1ed37d992b,broad,200B,single,,1,0,False,"[{""original_token"": ""Shipping"", ""salted_token"": ""Sh​ipping"", ""start"": 34, ""end"": 42, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
00002.9438920e9a55591b18e60d1ed37d992b,00002__salted__broad__cp200C__single.9438920e9a55591b18e60d1ed37d992b,broad,200C,single,,1,0,False,"[{""original_token"": ""Shipping"", ""salted_token"": ""Sh‌ipping"", ""start"": 34, ""end"": 42, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]",[]
