message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,n_insert_subject,n_insert_body,body_part_found,subject_targets,body_targets
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200B__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200B,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200C__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200C,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200D__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200D,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp00AD__single.d94f1b97e48ed3b553b3508d116e6a09,extended,00AD,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200B__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200B,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200C__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200C,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200D__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200D,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp00AD__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,00AD,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200B__single.eac8de8d759b7e74154f142194282724,extended,200B,single,,0,3,True,[],"[{""original_token"": ""Click"", ""salted_token"": ""Cl​ick"", ""start"": 1246, ""end"": 1251, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""Removal"", ""salted_token"": ""Re​moval"", ""start"": 2542, ""end"": 2549, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""advertisement"", ""salted_token"": ""ad​vertisement"", ""start"": 2588, ""end"": 2601, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200C__single.eac8de8d759b7e74154f142194282724,extended,200C,single,,0,3,True,[],"[{""original_token"": ""Click"", ""salted_token"": ""Cl‌ick"", ""start"": 1246, ""end"": 1251, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""Removal"", ""salted_token"": ""Re‌moval"", ""start"": 2542, ""end"": 2549, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""advertisement"", ""salted_token"": ""ad‌vertisement"", ""start"": 2588, ""end"": 2601, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
