rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
SUBJ_YOUR_FAMILY;header;subject;likely;2.910 2.999 2.999 2.999;"Subject contains ""Your Family""";Subject =~ /Your Family/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;345
SUBJ_AS_SEEN;header;subject;likely;2.711 3.099 3.099 1.461 # n=0;"Subject contains ""As Seen""";Subject =~ /\bAs Seen/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;330
__TVD_PH_SUBJ_ACCESS_POST;header;subject;likely;;;Subject =~ /\b(?:(?:re-?)?activat[a-z]*|secure|verify|restore|flagged|limited|unusual|report|notif(?:y|ication)|suspen(?:d|ded|sion)) (?:[a-z_,-]+ )*?access\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10171
__TVD_PH_SUBJ_52;header;subject;likely;;;Subject =~ /\b(?:account|online) profile\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10161
__TVD_PH_SUBJ_04;header;subject;likely;;;Subject =~ /\baccounts? profile\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10137
__CRBOUNCE_VERIF;header;subject;likely;;;Subject =~ /^(?:Your email requires verification verify:\S|Please Verify Your Email Address)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;175
SUBJECT_DRUG_GAP_L;header;subject;likely;2.799 2.304 1.402 1.561;Subject contains a gappy version of 'levitra';Subject =~ /l.{0,2}e.{0,2}v.{0,2}i.{0,2}t.{0,2}r.{0,2}a/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;43
TVD_SUBJ_WIPE_DEBT;header;subject;likely;2.599 2.291 2.599 1.004 # n=2;Spam advertising a way to eliminate debt;Subject =~ /(?:wipe out|remove|get (?:rid|out) of|eradicate) .{0,20}(?:owe|debt|obligation)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;4758
SUBJECT_DRUG_GAP_C;header;subject;likely;2.108 0.989 1.348 2.140;Subject contains a gappy version of 'cialis';Subject =~ /\bc(?!ialis(?:t|\xc3\xa9|\xe9))[\sc]{0,2}i[\si]{0,2}a[\sa]{0,2}l[\sl]{0,2}i[\si]{0,2}s{1,3}\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;40
SUBJECT_DIET;header;subject;likely;1.927 1.563 0.817 1.466;Subject talks about losing pounds;Subject =~ /\bLose .*(?:pounds|lbs|weight)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;355
ENGLISH_UCE_SUBJECT;header;subject;likely;0.953 1.542 2.569 2.899 # n=0;Subject contains an English UCE tag;Subject =~ /^[^0-9a-z]*adv(?:ert)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;204
SUBJECT_FUZZY_CHEAP;header;subject;likely;0.641 1.831 0.833 0.001 # n=0;Attempt to obfuscate words in Subject:;Subject =~ /<inter W2><post P3>\b(?!cheap)<C><H><E><A><P>(?:\b|<E>)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_replace.cf;113
