dataset;label;message_id;variant_filename;vocab_type;codepoint;salt_location;n_insert_subject;n_insert_body;spam_flag;score;threshold;rule_count;rules;protocol_line;spamd_headers
baseline;spam;00002.d94f1b97e48ed3b553b3508d116e6a09;;;;none;;;False;0.8;5.0;3;HEADER_FROM_DIFFERENT_DOMAINS|MAILING_LIST_MULTI|SUBJECT_DIET;SPAMD/1.1 0 EX_OK;"Content-length: 2221 | Spam: False ; 0.8 / 5.0"
baseline;spam;00003.2ee33bc6eacdb11f38d052c44819ba6c;;;;none;;;False;3.0;5.0;3;KHOP_HELO_FCRDNS|MAY_BE_FORGED|SUBJECT_DIET;SPAMD/1.1 0 EX_OK;"Content-length: 1676 | Spam: False ; 3.0 / 5.0"
baseline;spam;00004.eac8de8d759b7e74154f142194282724;;;;none;;;True;10.3;5.0;12;EXCUSE_24|FAKE_REPLY_C|FORGED_MUA_OUTLOOK|FREEMAIL_FROM|FSL_HELO_BARE_IP_2|IP_LINK_PLUS|LOTS_OF_MONEY|MSOE_MID_WRONG_CASE|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|RCVD_HELO_IP_MISMATCH|THIS_AD;SPAMD/1.1 0 EX_OK;"Content-length: 911 | Spam: True ; 10.3 / 5.0"
baseline;spam;00009.1e1a8cb4b57532ab38aa23287523659d;;;;none;;;True;20.1;5.0;23;ADVANCE_FEE_5_NEW_MONEY|BILLION_DOLLARS|DATE_IN_PAST_96_XX|DEAR_SOMETHING|FORGED_MUA_OUTLOOK|FREEMAIL_FORGED_FROMDOMAIN|FREEMAIL_FROM|FREEMAIL_REPLYTO_END_DIGIT|HEADER_FROM_DIFFERENT_DOMAINS|HK_NAME_FM_MR_MRS|LOTS_OF_MONEY|MAILING_LIST_MULTI|MILLION_USD|MIME_QP_LONG_LINE|MONEY_FREEMAIL_REPTO|MSOE_MID_WRONG_CASE|OBFU_TEXT_ATTACH|SUBJ_ALL_CAPS|TVD_PH_BODY_ACCOUNTS_PRE|T_MONEY_PERCENT|T_TVD_MIME_NO_HEADERS|UPPERCASE_75_100|URG_BIZ;SPAMD/1.1 0 EX_OK;"Content-length: 1192 | Spam: True ; 20.1 / 5.0"
baseline;spam;00012.cb9c9f2a25196f5b16512338625a85b4;;;;none;;;True;11.7;5.0;13;DATE_IN_PAST_96_XX|FORGED_YAHOO_RCVD|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FREEMAIL_REPLY|LOTS_OF_MONEY|MONEY_FORM_SHORT|MSGID_OUTLOOK_INVALID|RATWARE_MS_HASH|RATWARE_OUTLOOK_NONAME|SPOOFED_FREEMAIL|T_FILL_THIS_FORM_SHORT|T_MONEY_PERCENT;SPAMD/1.1 0 EX_OK;"Content-length: 901 | Spam: True ; 11.7 / 5.0"
baseline;spam;00024.6b5437b14d403176c3f046c871b5b52f;;;;none;;;False;1.4;5.0;8;HTML_FONT_LOW_CONTRAST|HTML_IMAGE_RATIO_02|HTML_MESSAGE|KHOP_HELO_FCRDNS|MAY_BE_FORGED|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|T_FILL_THIS_FORM_SHORT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1731 | Spam: False ; 1.4 / 5.0"
baseline;spam;00025.619ab8051359048795e3cd09e82ad1a0;;;;none;;;True;16.5;5.0;17;DATE_IN_FUTURE_12_24|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|HTML_IMAGE_ONLY_08|HTML_MESSAGE|HTML_SHORT_LINK_IMG_1|MIME_HTML_ONLY|MIXED_HREF_CASE|MSGID_DOLLARS_URI_IMG|MSGID_OUTLOOK_INVALID|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|RATWARE_MS_HASH|RATWARE_OUTLOOK_NONAME|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS;SPAMD/1.1 0 EX_OK;"Content-length: 1022 | Spam: True ; 16.5 / 5.0"
baseline;spam;00040.949a3d300eadb91d8745f1c1dab51133;;;;none;;;True;11.0;5.0;10;DEAR_SOMETHING|FORGED_MUA_OUTLOOK|FORGED_YAHOO_RCVD|FREEMAIL_FORGED_FROMDOMAIN|FREEMAIL_FROM|HEADER_FROM_DIFFERENT_DOMAINS|MAILING_LIST_MULTI|MSOE_MID_WRONG_CASE|NO_RDNS_DOTCOM_HELO|RCVD_FAKE_HELO_DOTCOM	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 838 | Spam: True ; 11.0 / 5.0"
baseline;spam;00041.f1b3402799046db3c1f143a911dc085d;;;;none;;;True;18.9;5.0;12;DEAR_SOMETHING|DOS_OE_TO_MX|FORGED_MUA_OUTLOOK|FORGED_YAHOO_RCVD|FREEMAIL_FROM|MSOE_MID_WRONG_CASE|NO_RDNS_DOTCOM_HELO|RCVD_FAKE_HELO_DOTCOM|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|TO_NO_BRKTS_MSFT;SPAMD/1.1 0 EX_OK;"Content-length: 865 | Spam: True ; 18.9 / 5.0"
baseline;spam;00044.9f8c4b9ae007c6ded3d57476082bf2b2;;;;none;;;False;1.2;5.0;2;BANG_GUAR|PP_MIME_FAKE_ASCII_TEXT;SPAMD/1.1 0 EX_OK;"Content-length: 1236 | Spam: False ; 1.2 / 5.0"
